NO;SOAL;A;B;C;D;E;KUNCI;PEMBAHASAN;
36;Seorang pasien usia 27 tahun datang ke BPM. Pasien ingin menggunakan kontrasepsi jangka panjang AKDR agar tidak memiliki anak lagi. Hasil pemeriksaan tes plano (-) dan sedang haid hari ke 3. Tindakan awal yang dilakukan bidan sebelum memasang AKDR adalah;Melakukan pemasangan AKDR;Memberikan informed choice kontrasepsi lainnya;Memberikan informed consent;Mempersiapkan peralatan AKDR;Memberikan konseling KB AKDR;3;Informed consent adalah bentuk perjanjian tertulis antara petugas kesehatandan pasien yang akan menjadi akseptor KB. Formulir tersebut kemudian akan disimpan dalam rekam medis. Informed consent memiliki nilai - nilai otonomi pada masyarakat yang diyakini sebagai hak - hak mereka dalam menentukan nasibnya sendiri ketika akan menerima tindakan medis sehingga tidak ada kalimat paksaan terutama dalam pemberian asuhan medik yang memperhatikan lingkungan, sosial, budaya dan politik;
37;Seorang remaja perempuan berusia 18 tahun baru saja melahirkan 4 jam yang lalu. Persalinan ini merupakan pertama bagi pasien. Pasien memberikan respon terhadap nyeri pasca persalinan yang dialaminya seperti ketakutan, gelisah, cemas, menangis dan menjerit. Kasus tersebut merupakan ciri dari;Anti nyeri;Toleransi nyeri;Persepsi nyeri;Reaksi terhadap nyeri;Fungsi nyeri;4;Pengalaman nyeri yang dialami pasca persalinan mencerminkan ciri dari reaksi terhadap nyeri. Reaksi ini juga berbentuk respon spontan yang dirasakan pasien seperti ketakutan, gelisah, cemas, menangis dan menjerit. Beberapa faktor yang memengaruhi nyeri ialah usia, tingkat persepsi terhadap rasa nyeri, rsa nyeri yang pernah dialami dimasa lalu, kesehatan fisik dan mental, nilai budaya, harapan dari lingkungan sekitar serta adanya rasa cemas.;
38;Seorang wanita berusia 63 tahun mengujungi BPM untuk memeriksakan dirinya. Pasien mengeluh tidak sanggup menahan buang air kecil atau berkemih. Diagnosa yang dapat diangkat pada pasien tersebut adalah ;Retensi urine;Urinaria supresi;Enuresis;Inkoteninsia urine lansia;Perubahan pola eleminasi urine;3;Enuresis merupakan kondisi dimana lansia tidak sanggup untuk menahan buang air kecil sehingga ia mengompol. Masalah ini disebabkan oleh ketidakmampuan pasien mengatur laju urine dari sfingter eksternal sehingga menimbulkan gangguan eliminasi urine. Adapun tanda dan gejala gangguan ini seperti tidak mampu mengatur waktu berkemih, urine yang keluar dengan cairan yang masuk tidak seimbang, distensi (tidak mampu untuk berkemih dengan baik atau kesulitan berkemih), meningkatnya keinginan berkemih, merasa resah ketika berkemih dan timbul rasa tidak nyaman di daerah pubis.;
39;Seorang wanita berusia 63 tahun mengujungi BPM untuk memeriksakan dirinya. Pasien mengeluh tidak sanggup menahan buang air kecil atau berkemih. Ketidakmampuan sfingter eksternal sementara atau permanen untuk mengontrol urine adalah definisi dari;Retensi urine;Urinaria supresi;Enuresis;Inkoteninsia urine lansia;Perubahan pola eleminasi urine;4;Ketidakmampuan sfingter eksternal yang sementara atau permanen dalam mengontrol pengeluraran urine adalah definisi dari inkontinensia urine lansia. Banyak faktor yang menyebabkan lansia terkena inkontinensia urine diantaranya mengkosumsi obat -obatan tertentu adanaya gangguan saluran kencing bagian bawah dan produksi urine yang meningkat ;
40;Seorang wanita berusia 18 tahun datang ke tempat bidan  dengan keluhan payudara sebelah kanan teraba benjolan , mudah digerakkan , tidak berubah-ubah besarnya dan tidak nyeri. Apakah diagnosis yang paling tepat pada kasus tersebut?;Mastitis;Piget Disease;Ca Mamae;Engorgement;Fibroadenoma;5;"Data Fokus : Êpayudara wanita sebelah kanan teraba benjolan, mudah digerakkan, tidak berubah-ubah dan tidak  nyeri
Fibroadenoma, atau fibroadenoma mammae (FAM), adalah salah satu jenis tumor jinak yang paling umum terjadi pada payudara. Fibroadenoma berbentuk bulat dengan batas tegas dan memiliki konsistensi kenyal dengan permukaan yang halus, serta ukurannya dapat membesar pada masa kehamilan. Tumor jinak ini biasanya tidak terasa sakit dan mudah bergeser saat disentuh. Penderita fibroadenoma kebanyakan adalah wanita berusia antara 15-35 tahun.";
41;Seorang perempuan umur 25 tahun G2P1A0, datang ke BPM pada pukul 13.00 wib dengan keluhan kencang - kencang teratur sejak pukul 08.00 wib, keluar keringat dingin dan lendir darah. Hasil pemeriksaan PD di dapatkan pembukaan 9 cm selaput ketuban utuh dan penurunan kepala 3/5. Apakah asuhan kebidanan yang tepat dilakukan pada kasus di atas?;Melakukan masase uters;Mengosongkan kandung kemih;Mengukur tekanan darah;Observasi kontraksi uterus satu jam kemudian;Observasi DJJ satu jam kemudian;2;Anjurkan ibu dapat berkemih setiap 2 jam atau lebih sering jika kandung kemih selalu terasa penuh. Alasannya kandung kemih yang penuh mengganggu penurunan kepala bayi. Selain itu juga akan menambah rasa nyeri pada perut bawah, menghambat penatalaksanaan distosia bahu, menghalangi lahirnya plasenta dan memicu perdarahan pascapersalinan;
42;Seorang perempuan umur 26 tahun sedang mengalami proses persalinan di BPM, bayi lahir spontan menangis kuat,warna kulit merah, pernafasan teratur, gerakan aktif, bayi diletakkan di atas perut ibu. Hasil pemeriksaan palpasi tidak ada janin kedua dan oksitosin telah diberikan. Apakah tindakan segera yang harus diberikan oleh bidan?;Bereskan alat - alat yang di gunakan;Melakukan IMD;Membuang sampah sesuai dengan tempatnya;Jepit tali pusat;Bersihkan ibu dan ganti pakaian;4;;
43;Seorang perempuan G1P0A0 usia 28 tahun, hamil 40 minggu, datang ke RS dengan keluhan nyeri pinggang menjalar keari Ğ ari sejak 5 jam yang lalu. Bengkak pada kedua ekstremitas. Tfu 42 cm, teraba dua bagian besar janin berdampingan, DJJ terdengar jelas di dua tempat dengan frekuensi 119 x/menit. Hasil pemeriksaan diketahui presentasi janin bokong dan kepala. Maka perempuan tersebut harus melahirkan secara? ;Seksio sesaria;Ekstraksi vakum ;Induksi persalinan ;Partus pervaginan;Forcep ;1;Bengkak pada ekstremitas, teraba dua bagian besar janin berdampingan, djj terdengar jelas di dua tmpt , dlkukan pemeriksaan diketahui presentasi janin bokong dan kepala maka tindakan yang paling tepat adalah melahirkan secara seksio sesaria;
44;Seorang perempuan umur 30 tahun G3P2A0 sedang proses persalinan di puskesdes, segera setelah plasenta lahir terjadi perdarahan, kontraksi uterus lembek, serta TFU sulit di temukan. Hasil pemeriksaan : tidak ada robekkan jalan lahir, kandung kemih kosong. Keadaan apakah yang sedang di alami dalam kasus diatas?;Rupture uteri;Tetania uteri ;Laserasi perineum;Atonia uteri;Inersia uteri;4;"Atonia uteri adalah kegagalan otot  rahim mempertahankan kontraksi setelah melahirkan bayi sehingga tidak dapat menekan pembuluh darah yang berada di tempat menempelnya plasenta
Ruptur uteri adalah robekan dinding rahim (uterus) pada saat kehamilan dan persalinan yang bisa diakibatkan oleh bayi besar dll.
Inersia uteri adalah pemanjangan fase laten atau fase aktif atau kedua nya. Inersia uteri ini terbagi dua (inersia primer dan skunder) 
Tetania uteri adalah his yang terlampau kuat dan terlalu sering hingga tidak ada relaksasi uterus 
Laserasi perineum adalah robekan yang terjadi di perineum atau jalan lahir";
45;Seorang perempuan umur 26 tahun telah melahirkan di BPM sekitar 15 menit yang lalu. Hasil pemeriksaan TD 110/70 mmhg, HR 84x/menit, RR 24x/menit, kontraksi uterus baik, TFU 2 jari di bawah pusat plasenta lahir lengkap. Perempuan ini mengeluh perutnya mules dan mengeluarkan darah stosel kurang lebih dari 50 cc ia merasa cemas. Apakah diagnosa dari kasus di atas?;Persalinan kala I;Persalinan kala II;Persalinan kala III;Persalinan kala IV;Fase aktif persalinan;4;Persalinan kala I (kala pembukaan) dimulai dari adanya his yang konsisten yang menyebabkan terjadinya pembukaan serviks (pembukaan 1-10 cm)Persalinan kala II dimulai dari pembukaan lengkap sampai janin lahir (kala pengeluaran)Persalinan kala III dimulai dari anak lahir sampai plasenta lahir (kala uri) Persalinan kala IV adalah dimulai dari lahirnya plasenta dan berakhir 2 jam setelah itu;
46;"Seorang perempuan G1P0A0 sedang mengalami proses persalinan di poskesdes. Hasil pemeriksaan : PD pembukaan lengkap, ketuban (-), kepala sudah di H IV, rasa ingin meneran ibu kuat, namun persalinan tidak menampakkan kemajuan meskipun ibu sudah meneran 
Apakah penyebab masalah  pada kasus di atas?";Kelelahan;Tidak terpenuhinya kebutuhan nutrisi ibu;Salah dalam pimpinan persalinan pada kala II;Tidak terpenuhinya kebutuhan hidrasi ibu;Ibu takut dan cemas menghadapi persalinan;3;Kata kunci : rasa meneran ibu kuatTetapi tidak terdapat kemajuan persalinan, artinya ada yg salah dalam proses persalinannya. Jadi dapat disimpulkan kesalahan itu bisa salah satu nya karena salah dalam memimpin persalinan kala II;
47;"Seorang perempuan G2P1A0 datang ke BPM dengan keluhan nyeri pinggang menjalar ke ari-ari, ibu tampak kelelahan bibir ibu kering dan berkeringat dingin. Hasil pemeriksaan TD 120/80mmhg, HR 83x/menit, RR 24x/menit, S 36,4 C. PD pembukaan 8 cm, kepala H III, ketuban (+), presentasi kepala 
Apakah asuhan kebidanan yang dapat dilakukan oleh bidan?";Atur posisi yang paling nyaman menurut ibu;Pimpin ibu meneran dengan baik;Anjurkan ibu miring ke kiri;Anjurkan ibu miring ke kanan;Penuhi kebutuhan nutrisi dan hidrasi ibu di sela his;5;"Kata kunci : tampak kelelahan, bibir kering dan berkeringat 
Salah satu bentuk asuhan sayang ibu di kala I adalah memberikan asupan nutrisin. Pada kasus ini tampak bahwa ibu mengalami gejala dehidrasi. Maka anjurkan ibu untuk makan dan minum. Tidak perlu dilakukan pemasangan infus karena tidak ada indikasi pemberian nutrisi parenteral.";
48;Seorang perempuan G1P0A0 datang ke BPM dengan keluhan nyeri pinggang menjalar ke ari -ari,  hasil pemeriksaan : TD 110/80 mmhg, HR 82x/menit, RR 24x/menit, PD pembukaan 10 cm, kepala H IV, ketuban (-). Dari pemeriksaan yang lalu berat janin 4300 gram, ibu merasa ingin meneran selang 40 menit ibu meneran tidak terdapat kemajuan persalinan. Apakah penyebab tidak majunya persalinan pada kasus di atas?;Passage;Passanger;Keadaan jalan lahir;Power;Tenaga ibu ;2;"Power adalah kekuatan ibu dalam mengejan yang berhubungan pula dengan kontraksi rahim. Kekuatan ibu mengejan akan membantu mempermudah keluarnya janin. Namun jika faktor ini tidak dimiliki, upaya yang dilakukan dokter adalah dengan memberikan oksitoksin yang menginduksi rahim untuk berkontraksi lebih kuat.
Meskipun bisa diinduksi, namun sebaiknya menjelang waktu persalinan, ibu melakukan upaya-upaya stimulasi kontraksi rahim alami. Misalnya dengan banyak bergerak, stimulasi puting, dan berhubungan seks. Ketiganya dapat merangsang otak untuk meningkatkan sekresi oksitoksin.
Passenger faktor ini merupakan ukuran bayi. Apabila ukuran bayi besar, melebihi ukuran jalan lahir maka persalinan akan lebih sulit untuk dilakukan. Ukuran bayi dan keberhasilan dalam persalinan juga berhubungan dengan jumlah kelahiran.
""Misalnya, anak pertama beratnya sekitar tiga kilogram lalu dan dapat lahir normal. Anak kedua tidak akan bisa keluar jika diprediksi memiliki berat melebihi anak pertama,"" terang dokter yang berpraktik di MRCCC Siloam Hospital ini.
Passage Jalan lahir terdiri dari mulut rahim dan juga ukuran panggul dari ibu. Terbukanya mulut rahim ditentukan oleh kontraksi rahim. Sementara ukuran panggul tidak dapat diupayakan karena";
49;Seorang perempuan berusia 32 tahun, G2P1A0 hamil 32 minggu, datang ke BPM untuk memeriksakan kehamilannya. Hasil anamnesis : ibu merasakan nyeri di bagian pinggul, ini merupakan kunjungannya yang ke lima. hasil pemeriksaan TD 110/70mmHg, N 84x/menit, P 22x/menit, S 37¡C. Apa perubahan maternal yang terjadi pada kasus tersebut ?;Fundus mencapai pertengahan pusat ke PX;Oedem pada wajah;Fundus setinggi pusat;Payudara hiperpigmentasi;Mual muntah yang berlebihan;1;Usia kehamilan ibu pada kasus di atas adalah termasuk pada kehamilan trimester 3 dan jawaban yang tepat adalah Fundus mencapai pertengahan pusat ke PX;
50;Seorang perempuan umur 26 tahun hamil 38 minggu datang ke Puskesmas dengan keluhan keluar air yang banyak dari kemaluan membasahi satu helai kain sejak 9 jam yang lalu. Hasil anamnesis air-air tetap keluar walaupun tidak ada rasa ingin BAK. Hasil pemeriksaan TFU 4 jari dibawah PX, DJJ 144x/Menit, TTV dalam batas normal. Asuhan kebidanan apakah yang tepat pada kasus di atas?;Periksa TTV;Periksa DJJ;Batasi VT;Palpasi perlimaan;Palpasi leopold;3;Yang tepat dilakukan pada kasus pasien KPD adalah dengan membatasi VT untuk mengurangi resiko korioamniositis. Jawaban yang lainnya merupakan prosedur pemeriksaan yang selalu dilakukan pada pasien yang melakukan kunjungan kehamilan.;
51;"Seorang perempuan umur 24 tahun G1P0A0H0 hamil 38 minggu diantar oleh keluarga ke Puskesmas dengan keluhan Kejang 2 jam yang lalu kemudian tidak sadarkan diri.  Hasil pemeriksaan inspeksi tampak ekstrimitas edema, TD 180/110 mmHg, HR : 88 x/Menit,               RR : 23 x/menit, suhu 37 C.
Apakah Diagnosa pada kasus tersebut?";Hipertensi Gestasional;Epilepsi;Superimposed Preeclampsia;Pre Eklampsia Berat;Eklamsia;5;Adanya kejang, TD diastole 110 mmHg, Edema ekstrimitas merupakan tanda Eklampsia;
52;"Seorang perempuan umur 34 tahun G2P0A1H0 hamil 40 minggu diantar oleh keluarga ke Puskesmas dengan keluhan Kejang 3 jam yang lalu kemudian tidak sadarkan diri.  Hasil pemeriksaan inspeksi tampak ekstrimitas edema, TD 190/110 mmHg, N : 86x/Menit, P : 24 x/menit, suhu 37 C.
Tindakan awal apakah yang tepat pada kasus di atas?";Bebaskan jalan nafas, Berikan O2 dengan masker, intubasi jika perlu;Telentangkan pasien;Fiksasi;Rujuk ke RS;Berikan Diazepam;1;Triage penatalaksanaan kegawatdaruratan adalah ABC (Airway, breath dan Circulation). Pada pasien kejang dan tidak sadarkan diri sangat perlu menilai jalan nafas, pernafasannya adekuat atau tidak, dan memastikan sirkulasinya lancar. Jawaban C adalah yang paling tepat. Setelah itu lakukan fiksasi pasien untuk mencegah cidera pasien dan berikan diazepam sebagai antikonvulsan kemudian rujuk ke RS.Menelentangkan pasien merupakan hal yang tidak dianjurkan, karena yang tepat adalah Baringkan pada satu sisi, tempat tidur arah kepala ditinggikan untuk mengurangi aspirasi sekret, muntahan dan darah;
53;Seorang perempuan umur 22 tahun G1P0A0H0 datang ke Rumah Sakit dengan keluhan mual muntah yang terus menerus, sangat lemah dan berat badan menurun dan tidak nafsu makan. Di lakukan pemeriksaan TD 90/60 mmHg, N 92x/menit, P 19x/ menit, S 37,2¡C, nafas berbau aseton. Asuhan apa yang tepat dilakukan bidan sebagai tim pelayanan RS?;Catat Volume muntah;Berikan cairan parenteral cukup elektrolit, karbohidrat, protein dan garam fisiologis;Rawat gabung pasien dengan pasien kehamilan lainnya;Pantau Hemoglobin secara berkala;Kontrol TTV Setiap jam;2;"Asuhan yang diberikan bidan di RS pada pasien HEG derajat II adalah : 
- Catat intake output
- Berikan cairan parenteral cukup elektolit, karbohidrat, protein dg glukosa 5% dan garam fisiologis 2-3 liter/hari
- Kontrol TTV / 4 Jam
- Pantau HT, Guladarah, Faal Ginjal, Faal hepar dan benda keton urine.";
54;Seorang wanita usia 23 tahun hamil 28 minggu, datang ke RS dengan keluhan sering pusing dan gerakan anak yang begitu aktif. Hasil pemeriksaan TTV daalam batas normal, TFU 3 jari dibawah PX. Pada pemeriksaan palpasi teraba 2 bagian besar janin, DJJ (+), punktum maksimul dikedua sisi perut Ibu. Diagnosa apakah yang tepat pada kasus diatas?;Mola hidatidosa;Preterm;Gawat janin;IUGR;Gamelli;5;Berdasarkan hasil pemeriksaan leopold teraba dua bagian besar, terdengar DJJ dari dua sisi perut ibu, dan TFU melebihi usia kehamilan. Sehingga diagnosa yang tepat adalah pasien mengalami kehamilan kembar / Gemelli;
55;Seorang perempuan usia 30 tahun hamil 36 minggu, datang ke klinik dengan keluhan sering pusing. Hasil anamnesi gerakan anak aktif, makan 3x sehari dengan sayur, suami pasien seorang tukang ojek pangkalan. Hasil pemeriksaan TD 120/80 mmHg, N : 88X/Menit, P : 23x/menit. TFU 3 jari di atas pusat. Diagnosa apakah yang tepat pada kasus diatas?;Gamelli;Gawat janin;IUGR ;Preterm;Mola hidatidosa;3;Untuk usia kehamilan 36 minggu TFU seharusnya adalah 3 jari di bawah PX, namun pada kasus TFU pasien 3 jari di atas pusat untuk usia kehamilan 28 minggu.  Data lain didapatkan data asupan nutrisi ibu makan hanya dengan sayur tanpa protein karena terkendala ekonomi, dimana suami berpenghasilan sebagai Tukanh ojek pangkalan. IUGR Merupakan singkatan dari Intran Uterine Growth Restriction merupakan suatu keadaan janin di dalam rahim tidak mampu tumbuh sesuai potensinya;
56;Seorang ibu berusia 30 tahun datang ke RS hamil aterm anak kedua. Ibu mengeluh mulas seperti ingin BAB dan bertambah banyaknya lendir darah yang keluar dari jalan lahir. Hasil pemeriksaan didapatkan TTV dalam batas  normal TFU 38 cm, bagian terndah kepala penurunan 1/5, DJJ 140 x/ menit, hasil periksa dalam diketahui bahwa portio tidak teraba, ketban ( - ), H III ( + )  penunjuk pada pukul 1 dan Hb 10 gr/dl. Tindakan yang tepat untuk menangani hal tersebut adalah ;Memimpin kala II;Ibu diperbolehkan duduk;Menganjurkan ibu miring ke kiri;Memposisikan ibu dorsal rekumben;Mengajarkan teknik meneran efektif;4;;
57;Pada kunjungan rumah hari ketiga ibu mengeluh ASI baru keluar sedikit dan puting terasa nyeri ketika menyusui. Ibu menjadi takut untuk menyusui bayinya. Hasil pemeriksaan didapatkan tanda - tanda vital dalam batas normal dan puting susu ibu tampak lecet kemerahan. Tindakan yang harus bidan lakukan untuk mengatasi hal tersebut adalah ;Menganjurkan ibu untuk tetap menyusui bayinya;Menganjurkan ibu menggunakan susu formula untuk sementara;Menganjurkan ibu membersihkan puting dengan air hangat;Merujuk ibu untuk pengobatan;Menganjurkan ibu istirahat menyusui hingga puting sembuh;5;Ibu yang mengalami puting lecet biasanya disebabkan oleh posisi menyusui yang tidak benar. Penyebabnya adalah mulut bayi tidak mencakup seluruh puting atau aerola sehingga ia menggigit pada bagian pangkal, tengah dan ujung puting. Hal yang harus dilakukan bidan adalah menganjurkan ibu untuk istirahat menyusui hingga puting sembuh. BIdan perlu mengajarkan ibu cara merawat putingnya dan memberitahu ibu agar tidak menyentuh langsung puting yang lecet sebelum cuci tangan karena dikhawatirkan akan menyebabkan infeksi.  ;
58;Seorang wanita usia 30 tahun hamil 28 minggu, datang ke RS dengan keluhan sering pusing dan gerakan anak tidak terlalu aktif. Hasil pemeriksaan TTV daalam batas normal, TFU 3 jari dibawah PX. Pada pemeriksaan palpasi teraba 1 bagian besar janin, DJJ 180x/menit. punktum maksimu sisi kanan perut Ibu. Tindakan yang dapat dilakukan oleh bidan adalah ;Periksa vagina untuk melihat prolaps tali pusat;Atur posisi pasien;Jelaskan dengan singkat setiap tindakan;Lanjutkan infus oksitosin;Rendahkan kaki pasien;1;"Penanganan pada keadaan gawat janin di RS harus dilakukan dibawah pengawasan dokter kandungan. Diantaranya adalah :
- Mengatur posisi pasien memang dianjurkan, namun kurang lengkap seharusnya mengatur posisi pasien dengan meninggikan kaki, tingkatkan tetesan infus
- Hentikan infus oksitosin
- Beri oksigen
- Periksa vagina untuk melihat prolaps tali pusat
- Pemeriksaan sampling darah janin
- Persiapan terminasi kehamilan bila diindikasikan
- Jelaskan dengan singkat setiap tindakan";
59;Isi rekam medis dapat diberikan kepada pasien dalam bentuk, kecuali;Tertulis (resume);Lisan ;Fotokopi;Aslinya;Semua Benar;4;Rekam medis merupakan catatan perkembangan kondisi pasien dan bersifat rahasia dalam penggunaannya rekam medis asli tidak boleh diberikan kepada pasien karena menyangkut data di RS;
60;Seorang remaja berusia 17 tahun datang ke Puskesmas dengan keluahan haid merasa nyeri perut yang hebat dan bagian punggung terasa sakit. Remaja tersebut mengalami  ;Menometroragia;Amenorea ;Metroragia;Polimenorea;Dismenore;5;Disminore merupakaan rasa nyeri pada perut dan dapat menjalar ke pinggang, punggung bagian bawah serta paha yang disebabkan oleh kram rahim pada masa menstruasi;
61;Seorang bidan datang ke sekolah untuk memberikan penyuluhan tentang seks pranikah dan seks bebas. Penyuluhan yang dilakukan bidan termasuk didalam upaya;Preventif ;Promotif;Kuratif;Rehabilitatif;Ekspansif;2;Promotif merupakan salah satu jenis pelayanan kesehatan untuk mencegah terjadinya masalah kesehatan untuk mencegah terjadinya masalah kesehatan dengan melakukan kegiatan promosi kesehatan;
62;Seorang pasien perempuan berusia 32 tahun status kehamilan G4P3A0 dengan usia kehamilan 33 minggu datang dengan keluhan mengeluarkan darah saat bangun tidur terapi tidak merasakan sakit sama sekali. Hasil pemeriksaan fisik didapatkan tekanan darah 110/80 mmHg, HR 82 kali/ menit, HIS ( - ) dan detak jantung janin ( + ). Pemeriksaan penunjang yang diperlukan untuk menentukan diagnosis kasus tersebut adalah;Djj;USG;EKG;Foto Rontgen ;Darah lengkap;2;Ultrasonografi (USG) adalah suatu pemeriksaaan untuk melihat keadaan pada bagian internal tubuh atau janin dalam rahim. Pasien yang mengalami perdarahan tanpa rasa sakit perlu ditindak lanjuti dengan pemeriksaan penunjang USG untuk mengetahui apakah ada tanda - tanda bahaya seperti keguguran, plasenta previa dan komplikasi molahidatidosa. BIla tidak ditangani dapat mengancam keselamatan ibu dan janin ;
63;Seorang perempuan usia 28 tahun datang ke BPM dengan keluhan perut terasa mulas sejak satu jam yang lalu. Status obstetri pasien G1P0A0 dengan usia kehamilan 38 minggu. Setelah dilakukan pemeriksaan fisik diperoleh data tekanan darah pasien 120/80 mmHg, suhu 36¡C, RR 20 kali/ menit TFU 36 cm, persentasi kepala (PAP) DJJ ( + ) 145 kali/ menit pemeriksaan dalam diperoleh hasil pembukaan 3 cm, KK ( + ) penurunan kepala 3/5 dan kandung kemih penuh. Tindakan yang dilakukan oleh bidan adalah ;Menganjurkan ibu untuk buang air kecil ke kamar mandi dan mobilisasi;Mengajarkan teknik relaksasi;Melakukan lavement untuk mempercepat permbukaan serviks;Menganjurkan ibu untuk tidur miring kekiri;Menganjurkan ibu untuk memilih posisi bersalin;1;Kandung kemih yang penuh harus dikosongkan terlebih dahulu sebelum persalinan. Selain itu mobilisasi dapat mencegah tromboisis dan tromboemboli.  ;
64;Seorang bidan sedang melakukan pemeriksaan kehamilan pada seorang ibu hamil yang mengalami kenaikan tekanan darah. Kemudian bidan melanjutkan pemeriksaan untuk mendeteksi tanda dan gejala preeklamsia lainnya agar bisa menentkan tindakan tindakan yang tepat sehingga bisa mengajukan sistem rujukan. Termasuk karakteristik pelayanan kebidanan berpakah hal tersebut;Standar 1;Standar 2;Standar 3;Standar 4;Standar 5;4;Kasus diatas termasuk dalam pemeriksaan dan pemantauan antenatal standar 4. Pemeriksaan pada standar ini diantaranya ;
65;Beberapa masalah pada ibu dan bayi yang perlu dikolaborasi, kecuali;Gerakan janin yang dirasakan;PER;PEB;Kehamilan dengan anemia;Kehamilan dengan kelainan letak;1;Gerakan pada janin adalah salah satu cerminan kemajuan dan perkembangan janin. Gerakan ini bukan masalah serius gerakan janin membuat bidan mampu mendeteksi aktifnya janin dalam kandungan;
66;Seorang remaja usia 18 tahun datang ke RS bersama ibunya untuk mengkonsultasikan kebiasaan anak yang suka masturbasi sejak satu tahun terakhir. Anak merasa takut dan cemas karena sudah melakukan kebiasaan yang tidak baik. Konseling yang tepat untuk remaja tersebut adalah;Menyarankan untuk tidak mengakses internet;Menyarankan untuk lebih aktif dalam kegiatan yang positif;Memberikan konseling tentang kesehatan reproduksi;Menyarankan mengurangi pergaulan;Menyarankan untuk lebih dekat dengan orang tuanya;3;Konseling yang sebaiknya diberikan bidan adalah mengenai kesehatan reproduksi remaja. Topik berupa remaja dan kesehatan reproduksinya serta kualitas remaja dapat membantu untuk mengatasi masalah yang dialami pasien;
67;Seseorang bidan datang kerumah pasien yang telah melahirkan anak keempat sebulan yang lalu. Dari hasil pemeriksaan diketahui tekanan darah pasien 110/70 mmHg, nadi 76 x/menit pernafasan 23 x/ menit dan pemeriksaan perdarahan postpartum ( - ). Alat kontrasepsi yang sebaiknya disarankan untuk pasien tersebut adalah ;Kontrasepsi sederhana tanpa alat;Kontrasepsi sederhana dengan alat ;Kontrasepsi hormonal;Kontrasepsi mantap;Kontrasepsi non hormonal;4;Kontap ini sangat praktis, efektif serta ekonomis karena hanya memerlukan tindakan dan biaya satu kali dengan tingkat kegagalan sangat kecil. Contoh kontap ini adalah Metode Operasi Wanita (MOW) dengan cara menutup, mengikat dan memotong kedua saluran telur sehinga telur tidak dapat melewati saluran telur dan tidak dapat bertemu sperma;
68;Seorang perempuan berusia 38 tahun memiliki tiga orang anak. Anak pertama berusia 6 tahun, anak kedua berusia 3 tahun dan anak ketiga berusia 12 bulan. Pasien datang ke puskesmas untuk menjadi akseptor KB. Pada lembar dokumentasi bidan menandai usia pasien. Alasan bidan memprioritaskan usia pasien pada kasus tersebut adalah;Usia 34 tahun adalah batas resiko;Pasien terlambat menggunakan KB;Untuk penentuan alternatif pemakaian KB yang dipilih;Karena pasien sudah memiliki 3 anak ;Pasien belum pernah menjadi akseptor KB;3;Konseling dan penapisan KB dimanfaatkan untuk memilih KB yang terbaik dan cocok bagi pasien. Koordinasi pengambilan keputusan dilaksanakan bersama bidan agar efektif. ;
69;Menurut kebijakan nasional kunjungan pada ibu dalam masa nifas dilakukan minimal ;1 kali;2 kali;3 kali;4 kali;5 kali;4;Kunjungan yang dilakukan oleh bidan pada ibu dalam masa nifas dilakukan minimal 4 kali yang meliputi kegiartan pencegahan, pendeteksian dan penanganan masalah yang terjadi selama masa nifas.;
70;Waktu yang dibutuhkan  ibu untuk sampai pada tahap sehat sempurna terutama setelah hamil atau setelah persalinan dengan komplikasi disebut dengan masa;puerperium intermedial;remote puerperium;puerperium dini;late puerperium;puerperium;2;Remote perium merupakan waktu yang dibutuhkan untuk sehat sempurna waktu ini bisa berminggu - minggu, berbulan - bulan bahkan tahunan;
71;Kebijakan program nasional pada masa nifas bertujuan untuk;Mengatasi komplikasi atau masalah kesehatan yang terjadi pada ibu dan bayi;Menilai kondisi kesehatan ibu dan bayi;Menilai ada atau tidaknya komplikasi pada masa nifas;Mencegah terjadinya masalah kesehatan pada ibu dan bayi;Semua benar;5;Tujuan dari kebijakan mengatasi komplikasi atau masalah kesehatan yang terjadi pada ibu dan bayi, menilai kondisi kesehatan ibu dan bayi, menilai ada atau tidaknya komplikasi pada masa nifas, mencegah terjadinya masalah kesehatan pada ibu dan bayi. Jadi semua pilihan jawaban diatas benar. ;
72;Seorang bayi baru saja lahir 3 jam yang lalu di sebuah BPM gerakan bayi aktif, TTV normal dan berat bayi 2800 gram dengan PB 51 cm. Bidan memeriksa reflek bayi dengan bayi dengan cara menyentuh bagian pipi dan bayi memberikan respon dengan cara mengikuti arah jari. Reflek tersebut dinamakan ;refleks rooting;refleks babinski;refleks sucking ;refleks grasping;refleks moro;1;Refleks ini terjadi jika pipi bayi disentuh maka kepalanya mengikuti arah datangnya rangsangan. Setelah itu mulut bayi akan terbuka seakan - akan mencari puting ibunya reflek in akan hilang ketika bayi berusia 3 sampai 4 bulan ;
